id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
350300,莆田市,350300,0.008888888888888889,0.03222222222222223,0.0030555555555555557,0.11,0.11,0.04,0.0,0.0,0.0
350400,三明市,350400,0.008888888888888889,0.012222222222222223,0.008055555555555554,0.11,0.11,0.06,0.0,0.0,0.0
350500,泉州市,350500,0.05399999999999997,0.19777777777777775,0.01805555555555556,0.26,0.26,0.12,0.0,0.12,0.0
350600,漳州市,350600,0.009333333333333332,0.0,0.011666666666666665,0.06,0.0,0.06,0.0,0.0,0.0
350700,南平市,350700,0.002,0.0,0.0025000000000000005,0.03,0.0,0.03,0.0,0.0,0.0
350800,龙岩市,350800,0.0011111111111111111,0.0,0.001388888888888889,0.03,0.0,0.03,0.0,0.0,0.0
350900,宁德市,350900,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
360100,南昌市,360100,0.24933333333333335,0.41888888888888887,0.2069444444444445,0.49,0.49,0.32,0.11,0.3,0.11
360200,景德镇市,360200,0.0044444444444444444,0.0,0.005555555555555556,0.05,0.0,0.05,0.0,0.0,0.0
360300,萍乡市,360300,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
360400,九江市,360400,0.295111111111111,0.4744444444444444,0.2502777777777778,0.6,0.6,0.43,0.12,0.29,0.12
360500,新余市,360500,0.0008888888888888889,0.0,0.0011111111111111111,0.02,0.0,0.02,0.0,0.0,0.0
360600,鹰潭市,360600,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
360700,赣州市,360700,0.04644444444444445,0.15666666666666668,0.018888888888888893,0.2,0.2,0.1,0.0,0.12,0.0
360800,吉安市,360800,0.0348888888888889,0.13,0.01111111111111111,0.16,0.16,0.09,0.0,0.1,0.0
360900,宜春市,360900,0.06422222222222221,0.25777777777777783,0.015833333333333338,0.37,0.37,0.15,0.0,0.13,0.0
361000,抚州市,361000,0.04311111111111113,0.14111111111111113,0.018611111111111116,0.18,0.18,0.1,0.0,0.09,0.0
361100,上饶市,361100,0.04577777777777778,0.17444444444444443,0.013611111111111114,0.2,0.2,0.11,0.0,0.15,0.0
370100,济南市,370100,0.02911111111111112,0.03666666666666666,0.027222222222222228,0.17,0.13,0.17,0.0,0.0,0.0
370200,青岛市,370200,0.030888888888888903,0.044444444444444446,0.027500000000000004,0.17,0.17,0.12,0.0,0.0,0.0
370300,淄博市,370300,0.0035555555555555557,0.0,0.0044444444444444444,0.06,0.0,0.06,0.0,0.0,0.0
370400,枣庄市,370400,0.011111111111111112,0.0,0.013888888888888888,0.18,0.0,0.18,0.0,0.0,0.0
370500,东营市,370500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370600,烟台市,370600,0.0013333333333333333,0.0,0.0016666666666666666,0.02,0.0,0.02,0.0,0.0,0.0
370700,潍坊市,370700,0.032444444444444456,0.0,0.040555555555555574,0.17,0.0,0.17,0.0,0.0,0.0
370800,济宁市,370800,0.01844444444444445,0.05888888888888889,0.008333333333333333,0.1,0.1,0.06,0.0,0.0,0.0
370900,泰安市,370900,0.0017777777777777779,0.0,0.0022222222222222222,0.06,0.0,0.06,0.0,0.0,0.0
371000,威海市,371000,0.0006666666666666666,0.0,0.0008333333333333333,0.02,0.0,0.02,0.0,0.0,0.0
371100,日照市,371100,0.003333333333333333,0.0,0.004166666666666667,0.09,0.0,0.09,0.0,0.0,0.0
371300,临沂市,371300,0.0357777777777778,0.060000000000000005,0.02972222222222223,0.17,0.17,0.12,0.0,0.0,0.0
371400,德州市,371400,0.0071111111111111115,0.0,0.008888888888888889,0.05,0.0,0.05,0.0,0.0,0.0
371500,聊城市,371500,0.004,0.0,0.005000000000000001,0.03,0.0,0.03,0.0,0.0,0.0
371600,滨州市,371600,0.0017777777777777779,0.0,0.0022222222222222222,0.04,0.0,0.04,0.0,0.0,0.0
371700,菏泽市,371700,0.051333333333333335,0.15444444444444447,0.025555555555555567,0.19,0.19,0.11,0.0,0.12,0.0
410100,郑州市,410100,0.34177777777777785,0.43777777777777777,0.31777777777777777,0.68,0.68,0.55,0.12,0.26,0.12
410200,开封市,410200,0.04466666666666668,0.14333333333333334,0.020000000000000004,0.19,0.19,0.11,0.0,0.08,0.0
410300,洛阳市,410300,0.052,0.16222222222222224,0.024444444444444453,0.3,0.23,0.3,0.0,0.1,0.0
410400,平顶山市,410400,0.046222222222222234,0.13111111111111112,0.02500000000000001,0.15,0.15,0.15,0.0,0.09,0.0
410500,安阳市,410500,0.06822222222222223,0.14222222222222225,0.04972222222222222,0.56,0.18,0.56,0.0,0.08,0.0
410600,鹤壁市,410600,0.0008888888888888889,0.0,0.0011111111111111111,0.04,0.0,0.04,0.0,0.0,0.0
410700,新乡市,410700,0.055555555555555546,0.1566666666666667,0.03027777777777778,0.23,0.23,0.11,0.0,0.08,0.0
410800,焦作市,410800,0.018000000000000002,0.06444444444444444,0.006388888888888889,0.12,0.12,0.06,0.0,0.0,0.0
