city_baidu_id,name,province_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
371500,聊城市,370000,0.007362637362637365,0.0,0.01030769230769231,0.07,0.0,0.07,0.0,0.0,0.0
371600,滨州市,370000,0.0024175824175824176,0.0,0.003384615384615385,0.1,0.0,0.1,0.0,0.0,0.0
371700,菏泽市,370000,0.05516483516483519,0.1380769230769231,0.02200000000000001,0.19,0.19,0.11,0.0,0.08,0.0
410100,郑州市,410000,0.48351648351648335,0.6738461538461537,0.4073846153846154,1.07,0.94,1.07,0.12,0.26,0.12
410200,开封市,410000,0.051648351648351624,0.11769230769230771,0.02523076923076924,0.22,0.19,0.22,0.0,0.0,0.0
410300,洛阳市,410000,0.07978021978021972,0.18538461538461537,0.03753846153846155,0.73,0.25,0.73,0.0,0.06,0.0
410400,平顶山市,410000,0.05593406593406591,0.13230769230769232,0.02538461538461539,0.18,0.17,0.18,0.0,0.08,0.0
410500,安阳市,410000,0.06384615384615386,0.1342307692307692,0.03569230769230769,0.56,0.18,0.56,0.0,0.06,0.0
410600,鹤壁市,410000,0.001208791208791209,0.0,0.0016923076923076926,0.04,0.0,0.04,0.0,0.0,0.0
410700,新乡市,410000,0.07296703296703297,0.15423076923076923,0.040461538461538465,0.28,0.23,0.28,0.0,0.08,0.0
410800,焦作市,410000,0.013956043956043959,0.03307692307692307,0.006307692307692308,0.13,0.13,0.08,0.0,0.0,0.0
410900,濮阳市,410000,0.009670329670329674,0.018461538461538463,0.006153846153846154,0.11,0.11,0.06,0.0,0.0,0.0
411000,许昌市,410000,0.06527472527472523,0.14461538461538462,0.033538461538461545,0.2,0.2,0.19,0.0,0.1,0.0
411100,漯河市,410000,0.09395604395604397,0.16346153846153846,0.06615384615384613,0.3,0.22,0.3,0.0,0.12,0.0
411200,三门峡市,410000,0.02043956043956045,0.0,0.028615384615384626,0.19,0.0,0.19,0.0,0.0,0.0
411300,南阳市,410000,0.42153846153846153,0.6023076923076923,0.34923076923076934,0.82,0.82,0.64,0.15,0.41,0.15
411400,商丘市,410000,0.12,0.3046153846153847,0.046153846153846156,0.52,0.52,0.28,0.0,0.17,0.0
411500,信阳市,410000,0.590879120879121,1.3103846153846155,0.303076923076923,1.76,1.76,0.64,0.14,1.02,0.14
411600,周口市,410000,0.15494505494505484,0.37499999999999994,0.06692307692307695,0.54,0.54,0.23,0.0,0.21,0.0
411700,驻马店市,410000,0.24373626373626364,0.5926923076923077,0.10415384615384615,0.81,0.81,0.28,0.01,0.37,0.01
420100,武汉市,420000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
420200,黄石市,420000,3.1931868131868137,3.765,2.964461538461538,4.42,4.42,3.98,2.19,3.36,2.19
420300,十堰市,420000,3.124835164835165,1.8684615384615386,3.627384615384614,5.15,2.4,5.15,1.5,1.5,2.01
420500,宜昌市,420000,4.472087912087913,2.758846153846154,5.157384615384616,6.36,3.45,6.36,2.26,2.26,2.51
420600,襄阳市,420000,3.597582417582418,3.812692307692307,3.511538461538462,4.5,4.5,4.4,2.65,3.2,2.65
420700,鄂州市,420000,4.990219780219779,4.457692307692308,5.20323076923077,9.25,6.85,9.25,3.28,3.28,3.43
420800,荆门市,420000,2.742307692307691,3.0473076923076925,2.620307692307692,4.19,4.19,3.47,1.67,2.63,1.67
420900,孝感市,420000,15.480989010989012,13.395769230769229,16.31507692307693,20.21,17.67,20.21,10.41,10.41,13.95
421000,荆州市,420000,6.604395604395607,6.083076923076924,6.8129230769230755,8.73,7.65,8.73,5.13,5.34,5.13
421100,黄冈市,420000,18.594065934065938,12.606538461538463,20.989076923076926,25.57,16.56,25.57,10.52,10.52,15.75
421200,咸宁市,420000,6.370219780219782,5.103461538461539,6.8769230769230765,8.04,6.22,8.04,4.48,4.48,5.38
421300,随州市,420000,2.167692307692308,2.953076923076923,1.853538461538462,4.15,4.15,2.61,1.38,2.52,1.38
422800,恩施土家族苗族自治州,420000,4.7458241758241755,1.8996153846153843,5.884307692307693,7.81,2.99,7.81,1.27,1.27,2.04
430100,长沙市,430000,0.7287912087912087,1.194230769230769,0.5426153846153848,1.79,1.79,1.21,0.15,0.38,0.15
430200,株洲市,430000,0.2678021978021979,0.19038461538461543,0.2987692307692309,0.53,0.28,0.53,0.14,0.15,0.14
430300,湘潭市,430000,0.06890109890109887,0.1153846153846154,0.0503076923076923,0.41,0.15,0.41,0.0,0.0,0.0
430400,衡阳市,430000,0.12131868131868125,0.21307692307692308,0.08461538461538462,0.3,0.27,0.3,0.0,0.1,0.0
430500,邵阳市,430000,0.04890109890109887,0.13730769230769233,0.013538461538461544,0.23,0.23,0.1,0.0,0.0,0.0
430600,岳阳市,430000,0.43494505494505475,0.4942307692307692,0.4112307692307692,0.9,0.58,0.9,0.17,0.35,0.17
430700,常德市,430000,0.11868131868131869,0.27538461538461545,0.055999999999999994,0.41,0.41,0.21,0.0,0.18,0.0
430800,张家界市,430000,0.0034065934065934064,0.0,0.0047692307692307695,0.1,0.0,0.1,0.0,0.0,0.0
430900,益阳市,430000,0.05472527472527468,0.15500000000000005,0.014615384615384622,0.29,0.29,0.12,0.0,0.0,0.0
431000,郴州市,430000,0.029890109890109887,0.05038461538461539,0.021692307692307705,0.14,0.14,0.1,0.0,0.0,0.0
431100,永州市,430000,0.029999999999999985,0.07346153846153847,0.01261538461538462,0.15,0.15,0.07,0.0,0.0,0.0
431200,怀化市,430000,0.03252747252747251,0.08115384615384619,0.013076923076923081,0.13,0.13,0.06,0.0,0.0,0.0
431300,娄底市,430000,0.04714285714285715,0.1480769230769231,0.006769230769230769,0.26,0.26,0.08,0.0,0.0,0.0
433100,湘西土家族苗族自治州,430000,0.013076923076923081,0.0023076923076923075,0.01738461538461539,0.11,0.06,0.11,0.0,0.0,0.0
440100,广州市,440000,0.40021978021978033,0.6711538461538459,0.2918461538461538,1.2,1.2,0.88,0.04,0.36,0.04
440200,韶关市,440000,0.016813186813186817,0.0,0.023538461538461543,0.15,0.0,0.15,0.0,0.0,0.0
440300,深圳市,440000,0.4682417582417582,0.6973076923076923,0.37661538461538463,1.39,1.39,1.07,0.1,0.35,0.1
440400,珠海市,440000,0.05175824175824175,0.11807692307692307,0.025230769230769244,0.18,0.18,0.13,0.0,0.0,0.0
440500,汕头市,440000,0.007802197802197803,0.0,0.010923076923076924,0.09,0.0,0.09,0.0,0.0,0.0
440600,佛山市,440000,0.11802197802197795,0.14461538461538462,0.10738461538461541,0.85,0.27,0.85,0.0,0.0,0.0
440700,江门市,440000,0.021648351648351653,0.0038461538461538464,0.028769230769230773,0.44,0.1,0.44,0.0,0.0,0.0
440800,湛江市,440000,0.013406593406593411,0.012307692307692308,0.01384615384615385,0.11,0.08,0.11,0.0,0.0,0.0
440900,茂名市,440000,0.017472527472527484,0.0,0.024461538461538476,0.08,0.0,0.08,0.0,0.0,0.0
