id,t2m_mean,t2m_max,t2m_min
411725,280.89456122448973,292.7031666666666,272.5130833333333
411726,280.8694592223253,292.31145833333323,272.22008333333326
411727,281.39445129870137,293.1824166666667,273.2787916666667
411728,281.18990580550405,292.92841666666664,272.8439166666667
411729,281.3345660173159,293.2804166666666,273.3715
419001,277.70331331168825,290.5931250000001,268.73745833333334
420107,282.9856633812617,294.11341666666664,274.331875
420112,282.87386626468765,294.04637499999995,274.0698333333333
420114,283.00818506493516,294.05145833333336,274.3276666666667
420115,283.3929768089053,294.6914166666667,274.96041666666673
420116,282.3026089208412,293.5908749999999,273.30974999999995
420117,282.8441106215213,294.06670833333334,274.26770833333336
420222,282.983316713049,295.0820416666667,275.09245833333335
420281,283.2835149582562,295.01112499999994,275.25962499999997
420302,281.253037376314,291.10429166666665,273.3242083333333
420303,280.8583416048237,291.251125,272.8478333333333
420304,279.88345470006186,290.13487499999997,271.6931666666667
420322,279.01924315862703,289.09937499999995,271.419875
420323,279.90992578849733,290.40099999999995,271.873
420324,278.50195044836136,288.78725000000003,270.97058333333337
420325,279.26889390074217,289.79025000000007,271.1469583333333
420381,280.73054931972797,290.76025,272.485625
420503,282.31134040661726,292.4272083333334,274.7174166666667
420504,280.974620168522,290.99791666666664,273.3539583333333
420506,279.8432511595547,290.61275000000006,271.6309166666667
420525,280.76630132962276,291.6811666666667,272.62733333333335
420526,278.1114170531849,288.3497916666667,268.8229166666667
420527,280.42185192486085,290.2092083333334,272.82408333333336
420528,279.56764382343835,289.7310416666666,272.00795833333325
420529,279.053560490105,289.246625,271.66220833333335
420581,282.1126218692022,292.87608333333327,274.100375
420582,282.16239594928874,293.3039166666666,273.96229166666666
420583,283.00559002009896,293.5758333333333,275.0797083333334
420602,282.0733482915894,293.0385833333334,273.75874999999996
420606,281.9816103123069,292.73066666666665,273.6510416666667
420607,282.0594709724799,293.1813333333334,273.64858333333336
420624,280.60339923469394,291.56687500000004,271.7550833333333
420625,281.09907985466907,291.4510416666667,272.55029166666674
420626,278.99761321119365,290.01225,270.3795
420682,281.6260844155844,291.9626666666666,273.4193333333333
420683,281.88557162183065,293.5939583333333,273.2742083333333
420684,282.2303693181819,293.80233333333325,273.7694583333334
420700,283.42849694650585,294.69166666666666,275.11975
420802,281.87929526128625,293.1755,273.17737500000004
420804,282.3442451685219,293.76033333333334,273.82725
420821,282.08090325448364,293.2402083333333,273.3479166666667
420822,282.5923134662955,294.07595833333335,274.4339166666666
420881,282.3216594774273,293.729,273.904875
420902,282.4940553880643,293.70458333333335,273.55691666666667
420921,282.09267188466305,293.36875000000003,273.22987500000005
420922,281.509745593692,292.9155,272.49470833333334
420981,282.3581013450835,293.31437500000004,273.62083333333334
420982,282.0083263760049,293.1719166666667,273.4203333333333
420984,282.71680399659886,293.7360833333334,273.9574166666667
421002,282.8366244202226,294.3770416666667,274.82412500000004
421003,283.0444928880643,294.5942916666666,275.0089166666667
421022,283.0213516929499,294.88595833333335,274.81304166666666
421023,283.0170883967224,294.40950000000004,274.43775
421024,282.9486280921459,294.73245833333334,274.76870833333334
421081,283.1509524969079,295.27125,274.8019166666666
421083,283.04546115491644,294.19137500000005,274.37929166666663
421087,282.73247247990116,293.9802916666667,274.6370416666667
421121,283.03351155689535,294.2432916666667,274.62241666666677
421122,281.89351464904144,293.36825,272.9805416666666
421123,281.65989567872606,292.7962083333333,272.63275
421124,281.19388825757557,292.1349166666667,272.1099166666666
421125,283.02448457792207,294.187,274.8234166666667
421126,282.79865425943103,293.9117916666666,274.86937500000005
421127,282.93124385435993,294.08141666666666,275.69404166666664
421181,281.66761715367977,293.26979166666666,272.4885
421182,283.21470477736557,294.76037499999995,275.7614999999999
421202,283.3072962662339,295.23016666666666,275.0251666666666
421221,283.29843123840453,294.6973333333334,274.8580833333333
421222,282.32336038961034,294.23058333333336,273.4055416666667
421223,282.76638678880647,294.6789166666667,273.9833333333333
421224,282.6647619820655,294.6857083333333,274.03045833333334
421281,283.2526529452691,294.7262083333334,274.86341666666664
421303,281.8024927721088,293.15025,273.3977916666667
421321,281.36938721397644,292.95725,272.63733333333334
421381,281.4077047000618,292.5407083333334,272.892125
422801,280.19077670841074,290.07941666666676,272.91391666666664
422802,280.07900734384657,290.9605833333333,273.7872916666667
422822,280.4588678494124,290.16574999999995,272.2373333333333
422823,279.1904003555968,288.762875,271.3088333333334
422825,280.8621493119975,291.287,275.11508333333336
422826,280.4238783627088,291.3432916666667,274.58729166666666
422827,280.8313860930735,291.99375,274.60295833333333
422828,279.43077292053187,289.17524999999995,273.4129583333333
429004,282.8029561301795,293.66450000000003,274.1077916666666
429005,282.81058735312314,294.02174999999994,274.6394583333333
429006,282.61657332251076,293.35954166666664,274.14799999999997
429021,277.0935903293135,287.8829583333333,267.7844166666667
430104,283.7728487940633,297.72954166666665,275.9688333333333
430112,283.9118211580088,297.2371666666666,276.0438333333333
430121,283.8933171768707,297.25629166666664,275.99325000000005
430124,283.05171869202235,296.94975,274.94287499999996
430181,283.5097683596166,296.16675000000004,275.33750000000003
430204,284.2297855210266,298.36416666666656,276.35525
430221,284.38769886363633,299.0567083333333,276.21775
430223,284.477967029994,298.92516666666666,275.65725000000003
430224,284.7014954004329,298.69312499999995,275.64641666666665
430225,284.827244047619,298.1294166666667,275.65483333333333
430281,284.25136058286944,298.20954166666667,275.94699999999995
430302,284.03125336270875,298.33170833333327,276.4214583333333
430321,284.007926948052,298.72066666666666,276.13441666666665
430381,283.25485030148434,297.46616666666665,275.50191666666666
430382,283.75986008039575,298.11287500000003,276.1106666666667
430405,284.50063883735305,298.8879166666666,276.2058750000001
430421,283.78219921150276,298.2694583333333,275.6992083333334
430422,284.4097212430428,298.73966666666666,276.3129166666667
430423,283.7853237090291,298.5122083333333,275.80000000000007
430424,284.60425320810145,299.05829166666666,276.1152083333334
430426,283.4455207946815,297.7142083333333,275.371
430481,285.1301118970315,299.34279166666664,276.3442083333333
430482,284.8789472789116,299.12816666666663,276.5128333333334
430521,283.1744683828078,297.48108333333334,275.128125
430522,282.92984353741485,297.069,275.1143333333333
430523,283.69613010204074,297.7282916666667,276.10875
430524,282.0876727736549,295.85075000000006,274.27608333333325
430525,281.8591364795919,295.1792500000001,274.08766666666673
430527,283.08884933518846,296.76150000000007,275.40837500000004
430528,283.0207980442178,296.93266666666665,274.8275416666667
430529,282.5950786951143,295.1313750000001,273.8593333333334
430581,283.01511448670374,296.70745833333336,275.37350000000004
430602,283.4279871675942,295.7248333333334,275.1067916666667
430611,283.19919917285097,295.15574999999995,274.6745
430621,283.30732084879406,295.8247083333334,274.95925
430623,283.3724543135436,295.8214166666667,275.0553333333333
430624,283.767463048856,296.732875,275.9678333333333
430626,282.92052539424867,295.196875,274.53308333333325
430681,283.7042382884973,296.69654166666663,275.55570833333337
430682,283.2728167130489,295.08699999999993,274.95912500000003
430703,283.1924217687075,295.3142500000001,275.3104166666667
430721,283.147822201608,295.3703333333333,274.99483333333336
430722,283.3290793135435,296.07491666666664,275.58908333333335
430723,282.3882402597403,293.97166666666664,274.30704166666663
430724,282.8236164192951,294.6601666666666,274.74804166666667
430725,282.4080125231912,294.525875,274.6161666666667
430726,281.0105401978974,292.07037500000007,273.43137500000006
430781,283.0461057900433,295.08837500000004,274.918
430802,281.6757765924552,293.1015416666667,274.6560416666667
430811,281.5213399814471,291.811375,274.6839166666667
430821,281.32051144094,292.93512499999997,273.83325
430822,280.58166859925785,290.459,274.05225
430902,283.49277245671004,296.8629166666667,275.76645833333333
430903,283.4784886750155,297.3427083333334,275.56808333333333
430921,283.3599337121213,295.9865,275.13329166666665
430922,283.0634259431045,296.7701666666666,275.240125
430923,281.86999342918983,295.38200000000006,273.92525
430981,283.53391160327766,296.3437916666666,275.53212500000006
431002,284.57869990723566,297.40658333333334,275.011375
431003,284.8235399659864,297.8242916666666,275.30879166666665
431021,284.49471614100185,297.7628333333333,275.45908333333335
431022,284.75230554267154,295.9239166666667,274.92445833333335
431023,285.1124610003091,298.97158333333334,276.05912499999994
431024,285.11764339826846,297.1037916666667,276.1739166666667
431025,284.69585923005553,296.37129166666665,274.9680416666667
431026,284.62767358534325,294.07329166666665,275.35949999999997
431027,283.5720254329004,294.3072083333333,274.23704166666664
431028,284.9525749458874,299.1925416666666,275.9472083333333
431081,284.877059214595,297.4448333333333,275.314
431102,284.6274822201608,298.14249999999987,276.5665833333333
431103,284.25895566635745,298.2210416666666,276.46316666666667
431121,284.29991430890544,298.673875,276.1096666666667
431122,282.87324771954246,296.72887499999996,274.5825416666667
431123,284.4150860776129,298.0387083333333,275.64750000000004
431124,284.3300521026592,295.9905416666667,275.175
